A1811681
Kroeber, 20A, X 02, 01
09/11/2015 14:59
"M","A1811681","TEMP 2015.1888","Kroeber, 20A, X 02, 01","09/11/2015 14:59"
"M","A1811681","L-19371","Kroeber, 20A, X 02, 01","09/11/2015 14:59"
"M","A1811681","L-15874","Kroeber, 20A, X 02, 01","09/11/2015 14:59"
"M","A1811681","L-12227","Kroeber, 20A, X 02, 01","09/11/2015 14:59"
"M","A1811681","12-11178(0)","Kroeber, 20A, X 02, 01","09/11/2015 14:59"
"M","A1811681","12-11174(0)","Kroeber, 20A, X 02, 01","09/11/2015 14:59"
"M","A1811681","12-10767.1","Kroeber, 20A, X 02, 01","09/11/2015 14:59"
"M","A1811681","12-10764(0)","Kroeber, 20A, X 02, 01","09/11/2015 14:59"
"M","A1811681","12-10763(0)","Kroeber, 20A, X 02, 01","09/11/2015 14:59"
"M","A1811681","12-10425(0).2","Kroeber, 20A, X 02, 01","09/11/2015 14:59"
"M","A1811681","12-10013.3","Kroeber, 20A, X 02, 01","09/11/2015 14:59"
"M","A1811681","12-6785.3","Kroeber, 20A, X 02, 01","09/11/2015 14:59"
"M","A1811681","12-6208(0)","Kroeber, 20A, X 02, 01","09/11/2015 14:59"
"M","A1811681","12-5994.2","Kroeber, 20A, X 02, 01","09/11/2015 14:59"
"M","A1811681","12-5874(0).2","Kroeber, 20A, X 02, 01","09/11/2015 14:59"
"M","A1811681","1-213675","Kroeber, 20A, X 02, 01","09/11/2015 14:59"
"M","A1811681","1-213674","Kroeber, 20A, X 02, 01","09/11/2015 14:59"
Kroeber, 20A, X 02, 02
09/11/2015 15:00
"M","A1811681","12-4252.2","Kroeber, 20A, X 02, 02","09/11/2015 15:00"
"M","A1811681","12-2340B.2","Kroeber, 20A, X 02, 02","09/11/2015 15:00"
"M","A1811681","12-1731(0)","Kroeber, 20A, X 02, 02","09/11/2015 15:00"
Kroeber, 20A, X 02, 03
09/11/2015 15:00
"M","A1811681","12-10020(0)","Kroeber, 20A, X 02, 03","09/11/2015 15:00"
"M","A1811681","1-213672","Kroeber, 20A, X 02, 03","09/11/2015 15:00"
Kroeber, 20A, X 02, 04
09/11/2015 15:00
"M","A1811681","12-6524(0)","Kroeber, 20A, X 02, 04","09/11/2015 15:00"
Kroeber, 20A, X 02, 05
09/11/2015 15:01
"M","A1811681","12-6739.2","Kroeber, 20A, X 02, 05","09/11/2015 15:01"
"M","A1811681","12-6507.2","Kroeber, 20A, X 02, 05","09/11/2015 15:01"
Kroeber, 20A, X 02, 06
09/11/2015 15:01
"M","A1811681","12-4142.2","Kroeber, 20A, X 02, 06","09/11/2015 15:01"
"M","A1811681","12-3650.2","Kroeber, 20A, X 02, 06","09/11/2015 15:01"
