reason_for_move;person_scanning;date_time;current_crate;new_location;person_refname;crate_refname;loc_refname;moveID;move_CSID;datetimeTZ
R;Jon Oligmueller;09/03/2015 13:54;North American Archaeology Storage Box 0334;Kroeber, 20AMez, GG 07, 01;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(NorthAmericanArchaeologyStorageBox03341383061155500)'North American Archaeology Storage Box 0334';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13770)'Kroeber, 20AMez, GG 07, 01';Barcode.20150908-1431-R.0001;a4e1d931-4654-4155-9778-a2aacfce217f;2015-09-03T13:54:00Z
R;Jon Oligmueller;09/03/2015 13:54;North American Archaeology Storage Box 0499;Kroeber, 20AMez, GG 07, 01;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(NorthAmericanArchaeologyStorageBox04991385509341465)'North American Archaeology Storage Box 0499';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13770)'Kroeber, 20AMez, GG 07, 01';Barcode.20150908-1431-R.0002;42873765-4228-4d69-b529-c36a34a95bc5;2015-09-03T13:54:00Z
R;Jon Oligmueller;09/03/2015 13:54;North American Archaeology Storage Box 0529;Kroeber, 20AMez, GG 07, 01;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(NorthAmericanArchaeologyStorageBox05291385509998024)'North American Archaeology Storage Box 0529';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13770)'Kroeber, 20AMez, GG 07, 01';Barcode.20150908-1431-R.0003;ac4e9db9-6ad1-4bfe-a246-c39c5fb19ce9;2015-09-03T13:54:00Z
R;Jon Oligmueller;09/03/2015 13:54;North American Archaeology Storage Box 0530;Kroeber, 20AMez, GG 07, 01;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(NorthAmericanArchaeologyStorageBox05301385510005281)'North American Archaeology Storage Box 0530';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13770)'Kroeber, 20AMez, GG 07, 01';Barcode.20150908-1431-R.0004;8be23595-861a-4a95-9120-b7f6441a7404;2015-09-03T13:54:00Z
R;Jon Oligmueller;09/03/2015 13:54;North American Archaeology Storage Box 0531;Kroeber, 20AMez, GG 07, 01;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(NorthAmericanArchaeologyStorageBox05311385510011350)'North American Archaeology Storage Box 0531';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13770)'Kroeber, 20AMez, GG 07, 01';Barcode.20150908-1431-R.0005;2304cb10-a124-4986-84aa-96b4da5ac847;2015-09-03T13:54:00Z
R;Jon Oligmueller;09/03/2015 13:54;North American Archaeology Storage Box 0532;Kroeber, 20AMez, GG 07, 01;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(NorthAmericanArchaeologyStorageBox05321385510022851)'North American Archaeology Storage Box 0532';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13770)'Kroeber, 20AMez, GG 07, 01';Barcode.20150908-1431-R.0006;00ae0c0f-0338-49a9-b090-554f35ebe18f;2015-09-03T13:54:00Z
R;Jon Oligmueller;09/03/2015 13:54;North American Archaeology Storage Box 0533;Kroeber, 20AMez, GG 07, 01;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(NorthAmericanArchaeologyStorageBox05331385510034701)'North American Archaeology Storage Box 0533';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13770)'Kroeber, 20AMez, GG 07, 01';Barcode.20150908-1431-R.0007;a605b6d4-46b8-4733-bad8-4b3b21e5fd39;2015-09-03T13:54:00Z
R;Jon Oligmueller;09/03/2015 13:55;North American Archaeology Storage Box 0534;Kroeber, 20AMez, GG 07, 02;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(NorthAmericanArchaeologyStorageBox05341385510040609)'North American Archaeology Storage Box 0534';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl11613)'Kroeber, 20AMez, GG 07, 02';Barcode.20150908-1431-R.0008;6084038c-483b-4a80-9df1-4c39b95c00ca;2015-09-03T13:55:00Z
R;Jon Oligmueller;09/03/2015 13:55;North American Archaeology Storage Box 0535;Kroeber, 20AMez, GG 07, 02;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(NorthAmericanArchaeologyStorageBox05351385510046135)'North American Archaeology Storage Box 0535';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl11613)'Kroeber, 20AMez, GG 07, 02';Barcode.20150908-1431-R.0009;cdb1881f-471a-47e8-bbf5-1c17fae50214;2015-09-03T13:55:00Z
R;Jon Oligmueller;09/03/2015 13:55;North American Archaeology Storage Box 0536;Kroeber, 20AMez, GG 07, 02;;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(NorthAmericanArchaeologyStorageBox05361385510051268)'North American Archaeology Storage Box 0536';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl11613)'Kroeber, 20AMez, GG 07, 02';Barcode.20150908-1431-R.0010;3417e275-4e81-4280-b723-d2169f428c97;2015-09-03T13:55:00Z
