Item_Num;moveID;loc_reject;handler_reject;obj_reject;loc_refname;crate_refname;loc_handler_refname;capture_datetime;moveCSID;move2obj_CSID;obj2move_CSID
3-10313;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;2f1acceb-8739-4daf-98a6-df2317765ad7;98bfbcd6-0aee-498e-9529-fe444052475f
3-13849.2;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;b4c8e1c0-3264-4f10-8112-2001ef9a729c;4e7f07c1-f94b-4e0d-bf9d-f678509b7c8e
3-23035;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;aa5c775b-7092-4c52-99bf-8b03ac6689e5;d9b3ec2c-a228-4bd7-9875-fe549c04beaa
3-2822a;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;6c8a0dc8-9448-4939-8954-d21dfe7c75d5;f062768b-57c9-4cd3-9903-c3799f8a13e9
3-10374;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;bd170b7f-302e-4ce5-bdb6-f720f7e66914;ee7f02e1-e503-4c54-a339-3e92b60886a9
3-23048;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;b74e76c3-9f37-4672-8db6-46a23e37f50b;9e2353e6-2f2f-4222-8a5d-cc2e91ecf432
3-2538;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;9e443825-942f-4aa5-b89d-a82184285d73;f1dd438c-955a-4a14-816d-060928301a78
3-13867;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;60215b9c-ec55-469c-8cd9-e7dc1dd0e926;e2a92ec9-7303-47f7-9058-0fe22f5fb19c
3-13777;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;95eb0885-4780-4b24-b37a-6aa646b6886a;57426407-9720-40ed-ac09-bfdd2d3086d4
3-14053;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;0f365c88-f48e-42d7-a25b-4fb0459d883b;a23f1448-b421-451d-a5bf-6e541b615c42
