No location entered
[see child objects for location(s)]
No object associated with this number
Deaccessioned
Marchant, 180, H 26, B
Not located
Recataloged to another number
Regatta, A124, Unit 3, B
On loan
Kroeber, 20A, Z  2,  4
Kroeber, 20A, X 31,  8
Kroeber, 15 Photo Lab, Film cabinet 11, 1
Kroeber, 20A, Yellow safe Drawer 18
Kroeber, 15 Photo Lab, Film cabinet  7, 2
Kroeber, 20A, Yellow safe Drawer 17
Kroeber, 15 Photo Lab, Film cabinet  6, 4
Kroeber, 15 Photo Lab, Film cabinet 11, 2
Kroeber, 15 Photo Lab, Film cabinet  7, 3
Kroeber, 20A, Z  2,  3
No location
Kroeber, 20A, Z  2,  1
Kroeber, 15 Photo Lab, Film cabinet  6, 5
Regatta, A150, North Nexel Unit 4, D
Kroeber, 15 Photo Lab, Film cabinet  9, 4
Kroeber, 15 Photo Lab, Film cabinet  7, 4
Regatta, A150, North Nexel Unit 5, B
Kroeber, 15 Photo Lab, Film cabinet  8, 2
Kroeber, 15 Photo Lab, Film cabinet 11, 3
Kroeber, 15 Photo Lab, Film cabinet  6, 8
Kroeber, 15 Photo Lab, Film cabinet  6, 2
Kroeber, 15 Photo Lab, Film cabinet  6, 1
Kroeber, 15 Photo Lab, Film cabinet  6, 3
Hearst Gym, 30, S 14,  3
Kroeber, 15 Photo Lab, Film cabinet  6, 7
Kroeber, 15 Photo Lab, Film cabinet  7, 8
Regatta, A124, Unit 02, E
Kroeber, 20A, Y 33, 12
Kroeber, 15 Photo Lab, Film cabinet  7, 5
Hearst Gym, 30, S 20,  3
Kroeber, 15 Photo Lab, Film cabinet  7, 7
Hearst Gym, 30, R  2,  1
Regatta, A150, South Nexel Unit 1, B
Kroeber, 15 Photo Lab, Film cabinet  7, 6
Hearst Gym, 30, S 14,  2
Hearst Gym, 30, S 14,  7
Kroeber, 20A, X 31,  7
Hearst Gym, 30, S 16,  2
Hearst Gym, 30, S 15,  1
Hearst Gym, 30, R  1,  9
Hearst Gym, 30, S 17,  3
Kroeber, 15 Photo Lab, Film cabinet  8, 7
Kroeber, 15 Photo Lab, Film cabinet 11, 4
Hearst Gym, 30, S 24, 14
Regatta, A135
Hearst Gym, 30, S 18,  2
Hearst Gym, 30, S 18,  1
Hearst Gym, 30, S  6,  1
See child objects for location(s)
Hearst Gym, 30, S  5,  3
Hearst Gym, 30, Cat 11 cabinet 18 A,  4
Hearst Gym, 30, T 11,  3
Hearst Gym, 30, S 18,  3
